,Date,Open_ma,Close_ma,Performance,Buy_and_hold_performance,Superiority,Volatility,Sharpe_ratio,Max_drawdown,Sortino_ratio,Calmar_ratio,Number_of_trades,Open,High,Low,Close,Volume,EMA_open,EMA_close,Target,Trade_on,Port_change,Port,Performance Cumprod,Buy_and_hold_performance Cumprod,Performance portfolio,Performance buy and hold
2024-02-21 09:00:00,2024-02-21,,,,,,,,,,,,2941.53,2941.63,2904.99,2907.37,20767.0026,2941.53,2907.37,-1.0,1.0,0.014384735097097331,102.36079959450312,,,,
2024-02-21 10:00:00,2024-02-21,,,,,,,,,,,,2900.2,2919.65,2888.45,2919.1,20656.931,2900.2,2919.1,-1.0,0.0,-0.004034574202801852,101.94781735308098,,,,
2024-02-21 11:00:00,2024-02-21,,,,,,,,,,,,2916.16,2926.36,2906.6,2911.13,7991.472,2916.16,2911.13,-1.0,1.0,0.0007302935836387241,102.02226918995989,,,,
2024-02-21 12:00:00,2024-02-21,,,,,,,,,,,,2899.11,2923.6,2880.0,2919.61,20862.1606,2899.11,2919.61,-1.0,0.0,-0.002912958198362841,101.72508258450743,,,,
2024-02-21 13:00:00,2024-02-21,,,,,,,,,,,,2921.2,2928.31,2905.8,2908.0,10370.9595,2921.2,2908.0,-1.0,1.0,0.0019765585129521155,101.92614816247058,,,,
2024-02-21 14:00:00,2024-02-21,,,,,,,,,,,,2907.64,2911.35,2881.75,2883.02,20161.1579,2907.64,2883.02,-1.0,0.0,0.008590096286107296,102.80170358925827,,,,
2024-02-21 15:00:00,2024-02-21,,,,,,,,,,,,2892.22,2915.33,2878.19,2910.0,25777.2408,2892.22,2910.0,-1.0,0.0,-0.009358242398595923,101.83966032808138,,,,
2024-02-21 16:00:00,2024-02-21,,,,,,,,,,,,2914.81,2926.2,2907.21,2908.2,13750.3206,2914.81,2908.2,-1.0,1.0,-0.0013814432989690097,101.69897461175188,,,,
2024-02-21 17:00:00,2024-02-21,,,,,,,,,,,,2931.46,2935.0,2911.88,2915.71,11936.1327,2931.46,2915.71,-1.0,0.0,-0.0025823533457121997,101.43635192440772,,,,
2024-02-21 18:00:00,2024-02-21,,,,,,,,,,,,2898.05,2908.52,2886.0,2889.46,10456.1106,2898.05,2889.46,-1.0,0.0,0.009002952968573692,102.34957863008687,,,,
2024-02-21 19:00:00,2024-02-21,,,,,,,,,,,,2900.3,2915.0,2890.0,2905.17,10728.7296,2900.3,2905.17,-1.0,0.0,-0.00543700206959087,101.79310375925333,,,,
2024-02-21 20:00:00,2024-02-21,,,,,,,,,,,,2912.99,2916.85,2904.62,2904.82,5835.9625,2912.99,2904.82,-1.0,1.0,-0.001879525122454139,101.60178106344522,,,,
2024-02-21 21:00:00,2024-02-21,,,,,,,,,,,,2906.19,2924.69,2899.84,2924.69,15892.7607,2906.19,2924.69,-1.0,0.0,-0.006840354996178727,100.90678881272721,,,,
2024-02-21 22:00:00,2024-02-21,,,,,,,,,,,,2927.98,2928.04,2913.2,2922.35,6099.0594,2927.98,2922.35,-1.0,1.0,-0.0011999152046883103,100.78570922257455,,,,
2024-02-21 23:00:00,2024-02-21,,,,,,,,,,,,2934.19,2956.25,2932.26,2951.49,11133.2942,2934.19,2951.49,-1.0,0.0,-0.009971427104898413,99.78073186984616,,,,
2024-02-22 00:00:00,2024-02-21,,,,,,,,,,,,2967.91,2968.59,2950.0,2954.11,9020.7577,2967.91,2954.11,-1.0,1.0,-0.0028876872359385754,99.492596324033,,,,
2024-02-22 01:00:00,2024-02-22,,,,,,,,,,,,2940.99,2950.17,2934.99,2940.99,5659.0128,2940.99,2940.99,,0.0,0.0,100.0,,,,
2024-02-23 01:00:00,2024-02-23,,,,,,,,,,,,2989.7,2993.44,2975.24,2980.93,4621.3223,2989.7,2980.93,,1.0,-0.002,99.8,,,,
2024-02-23 02:00:00,2024-02-23,,,,,,,,,,,,2979.41,2991.47,2975.59,2975.73,7030.152,2979.41,2975.73,-1.0,0.0,0.0017444220427852443,99.97409331986998,,,,
2024-02-23 03:00:00,2024-02-23,,,,,,,,,,,,2945.09,2952.39,2932.81,2946.87,15102.1188,2945.09,2946.87,-1.0,0.0,0.009698460545815692,100.94368811953645,,,,
2024-02-23 04:00:00,2024-02-23,,,,,,,,,,,,2955.95,2961.4,2947.51,2960.09,7739.8625,2955.95,2960.09,-1.0,1.0,-0.006486115777078818,100.2889556714278,,,,
2024-02-23 05:00:00,2024-02-23,,,,,,,,,,,,2952.6,2962.0,2948.91,2957.29,7227.9088,2952.6,2957.29,-1.0,1.0,-0.001054082815049481,100.18324280671528,,,,
2024-02-23 06:00:00,2024-02-23,,,,,,,,,,,,2959.41,2964.66,2956.91,2957.01,3871.6474,2959.41,2957.01,-1.0,1.0,-0.001905318720856005,99.9923617986796,,,,
2024-02-23 07:00:00,2024-02-23,,,,,,,,,,,,2964.73,2964.83,2939.67,2943.0,10110.2688,2964.73,2943.0,-1.0,0.0,0.004737894021325669,100.46611501182379,,,,
2024-02-23 08:00:00,2024-02-23,,,,,,,,,,,,2933.61,2946.47,2931.84,2933.22,10350.0946,2933.61,2933.22,-1.0,0.0,0.0033231396534149507,100.79997794244413,,,,
2024-02-23 09:00:00,2024-02-23,,,,,,,,,,,,2924.15,2937.77,2916.92,2930.01,9862.5028,2924.15,2930.01,-1.0,0.0,0.0010943604639268728,100.91028945306904,,,,
2024-02-23 10:00:00,2024-02-23,,,,,,,,,,,,2939.02,2946.24,2932.4,2942.31,6654.6429,2939.02,2942.31,-1.0,1.0,-0.006197937890996865,100.2848537464764,,,,
2024-02-23 11:00:00,2024-02-23,,,,,,,,,,,,2941.66,2948.65,2938.71,2939.15,4500.3083,2941.66,2939.15,-1.0,1.0,-0.0009260139142375024,100.19198857651989,,,,
2024-02-23 12:00:00,2024-02-23,,,,,,,,,,,,2943.63,2944.35,2926.64,2927.17,6583.0872,2943.63,2927.17,-1.0,0.0,0.004076008369766775,100.60037196054137,,,,
2024-02-23 13:00:00,2024-02-23,,,,,,,,,,,,2928.62,2938.3,2927.27,2934.06,5160.2976,2928.62,2934.06,-1.0,0.0,-0.002353809310699369,100.36357786836084,,,,
2024-02-23 14:00:00,2024-02-23,,,,,,,,,,,,2942.7,2962.77,2932.77,2951.76,13711.6641,2942.7,2951.76,-1.0,1.0,-0.008032596470419921,99.55739774701672,,,,
2024-02-23 15:00:00,2024-02-23,,,,,,,,,,,,2949.11,2950.0,2917.79,2919.41,19753.7399,2949.11,2919.41,-1.0,1.0,0.008959563108111893,100.44938853501051,,,,
2024-02-23 16:00:00,2024-02-23,,,,,,,,,,,,2916.06,2923.0,2906.05,2922.81,26061.0897,2916.06,2922.81,-1.0,0.0,-0.0011646188784720513,100.33240328079165,,,,
2024-02-23 17:00:00,2024-02-23,,,,,,,,,,,,2934.35,2939.8,2930.65,2931.59,7472.9991,2934.35,2931.59,-1.0,1.0,-0.005003958519370127,99.83034409662585,,,,
2024-02-23 18:00:00,2024-02-23,,,,,,,,,,,,2945.72,2948.7,2933.43,2946.52,6496.9556,2945.72,2946.52,-1.0,0.0,-0.0050927994705944,99.32192817306131,,,,
2024-02-23 19:00:00,2024-02-23,,,,,,,,,,,,2945.33,2951.7,2938.87,2947.26,4937.6705,2945.33,2947.26,-1.0,1.0,-0.002251143722085795,99.09834023798906,,,,
2024-02-23 20:00:00,2024-02-23,,,,,,,,,,,,2946.0,2948.63,2938.41,2940.15,4111.6764,2946.0,2940.15,-1.0,1.0,0.0004124101708027545,99.13920940141287,,,,
2024-02-23 21:00:00,2024-02-23,,,,,,,,,,,,2951.41,2953.69,2944.3,2945.9,3608.5221,2951.41,2945.9,-1.0,0.0,-0.0019556825332040883,98.94532458123086,,,,
2024-02-23 22:00:00,2024-02-23,,,,,,,,,,,,2943.21,2947.61,2936.37,2940.35,11814.3339,2943.21,2940.35,-1.0,0.0,0.0018839743372144953,99.13173503352927,,,,
2024-02-23 23:00:00,2024-02-23,,,,,,,,,,,,2922.91,2924.35,2906.87,2924.0,8392.4447,2922.91,2924.0,-1.0,0.0,0.005560562518067546,99.6829632437077,,,,
2024-02-24 00:00:00,2024-02-23,,,,,,,,,,,,2922.25,2932.63,2917.17,2931.61,4666.5839,2922.25,2931.61,-1.0,1.0,-0.00460259917920661,99.22416251890132,,,,
2024-02-24 01:00:00,2024-02-24,,,,,,,,,,,,2933.72,2933.99,2916.61,2916.65,4411.1319,2933.72,2916.65,,1.0,-0.002,99.8,,,,
